platform,  ,description,state,image_path
Facebook,Contact info,Meta uses this information to verify your identity and to keep our community safe. You decide what personal details you make visible to others.,zoomaitester10@gmail.com,Personal-details.png
Facebook,Birthday,Meta uses this information to verify your identity and to keep our community safe. You decide what personal details you make visible to others.,10-Jan-00,Personal-details.png
Facebook,Identity confirmation,Meta uses this information to verify your identity and to keep our community safe.,navigation link,Personal-details.png
Facebook,Account ownership and control,"Manage your data, modify your legacy contact, deactivate or delete your accounts and profiles.",navigation link,Personal-details.png
Facebook,Create export,"Allows the user to export a copy of their information to an external service or their device. The available information includes content and info you've shared, your activity, and info the service collects. The export does not include information that someone else shared, such as another person's photos that you're tagged in.",action_button,Screenshot 2026-01-13 141747.png
Facebook,Recent activity,"View recent activity from businesses and organizations that share information with Meta, such as zillow.com, lithub.com, and more.",navigational link,Screenshot 2026-01-13 141930.png
Facebook,Disconnect specific activity,Allows the user to disconnect specific activity that businesses have shared with Meta.,navigational link,Screenshot 2026-01-13 141930.png
Facebook,Clear previous activity,Allows the user to clear their history of activity off Meta technologies.,navigational link,Screenshot 2026-01-13 141930.png
Facebook,Manage future activity,Allows the user to control or disconnect future information that businesses send to Meta.,navigational link,Screenshot 2026-01-13 141930.png
Facebook,Do you want us to use your activity information from ad partners to show you ads?,This setting controls whether your activity information from ad partners is used to personalize the ads you see. Selecting 'Yes' results in more relevant ads based on what you already like. Selecting 'No' means your ads will use less of your information and be more generic.,"Yes, show me ads that are more relevant by using this information",Screenshot 2026-01-13 142107.png
Facebook,Employer,Profile information about your employer is used to help personalize your ads.,Used,Screenshot 2026-01-13 142220.png
Facebook,Job title,Profile information about your job title is used to help personalize your ads.,Used,Screenshot 2026-01-13 142220.png
Facebook,High School (California),Profile information about your education is used to help personalize your ads.,Used,Screenshot 2026-01-13 142220.png
Facebook,Unspecified (Relationship status),Profile information about your relationship status is used to help personalize your ads.,Used,Screenshot 2026-01-13 142220.png
Facebook,Birthday in July,Advertisers can reach you based on the category 'People who have a birthday in July'. You can remove yourself from this category.,Associated,Screenshot 2026-01-13 142220.png
Facebook,Facebook access (browser): Chrome,Advertisers can reach you based on the category 'People who primarily access Facebook using Google Chrome'. You can remove yourself from this category.,Associated,Screenshot 2026-01-13 142220.png
Facebook,Facebook access (mobile): all mobile devices,Advertisers can reach you based on the category 'People who primarily access Facebook using mobile devices'. You can remove yourself from this category.,Associated,Screenshot 2026-01-13 142220.png
